publisher_docid;batchid_in;time_stamp
week17b_1028_5760826_5760988;InspecMetadata/week17b/XML.zip;20110622_010025
week17b_1028_5760826_5760988;IEEEcnf/week17b/1028.zip;20110622_010025
week17b_1028_5760826_5760989;InspecMetadata/week17b/XML.zip;20110622_010026
week17b_1028_5760826_5760989;IEEEcnf/week17b/1028.zip;20110622_010026
week17b_1028_5760826_5760990;InspecMetadata/week17b/XML.zip;20110622_010026
week17b_1028_5760826_5760990;IEEEcnf/week17b/1028.zip;20110622_010026
week17b_1028_5760826_5760991;InspecMetadata/week17b/XML.zip;20110622_010027
week17b_1028_5760826_5760991;IEEEcnf/week17b/1028.zip;20110622_010027
week17b_1028_5760826_5760992;InspecMetadata/week17b/XML.zip;20110622_010027
week17b_1028_5760826_5760992;IEEEcnf/week17b/1028.zip;20110622_010027
week17b_1028_5760826_5760993;InspecMetadata/week17b/XML.zip;20110622_010027
week17b_1028_5760826_5760993;IEEEcnf/week17b/1028.zip;20110622_010027
week17b_1028_5760826_5760994;InspecMetadata/week17b/XML.zip;20110622_010027
week17b_1028_5760826_5760994;IEEEcnf/week17b/1028.zip;20110622_010027
week17b_1028_5760826_5760995;InspecMetadata/week17b/XML.zip;20110622_010028
week17b_1028_5760826_5760995;IEEEcnf/week17b/1028.zip;20110622_010028
week17b_1028_5760826_5760996;InspecMetadata/week17b/XML.zip;20110622_010028
week17b_1028_5760826_5760996;IEEEcnf/week17b/1028.zip;20110622_010028
week17b_1028_5760826_5760997;InspecMetadata/week17b/XML.zip;20110622_010029
week17b_1028_5760826_5760997;IEEEcnf/week17b/1028.zip;20110622_010029
week17b_1028_5760826_5760998;InspecMetadata/week17b/XML.zip;20110622_010029
