publisher_docid;batchid_out;status;time_stamp
week17b_1028_5760826_5761248;;noPdf;20110622_010043
week17b_1028_5760826_5761249;;noPdf;20110622_010043
week17b_1028_5760826_5761250;;noPdf;20110622_010043
week17b_1028_5760826_5761251;;noPdf;20110622_010043
week17b_1028_5760826_5761252;;noPdf;20110622_010043
week17b_1028_5760826_5761253;;noPdf;20110622_010043
week17b_1028_5760826_5761254;;noPdf;20110622_010043
week17b_1028_5760826_5761255;;noPdf;20110622_010043
week17b_1028_5760826_5761256;;noPdf;20110622_010043
week17b_1028_5760826_5761257;;noPdf;20110622_010043
week17b_1028_5760826_5761258;;noPdf;20110622_010043
week17b_1028_5760826_5761259;;noPdf;20110622_010043
week17b_1028_5760826_5761260;;noPdf;20110622_010043
week17b_1028_5760826_5761261;;noPdf;20110622_010043
week17b_1028_5760826_5761262;;noPdf;20110622_010043
week17b_1028_5760826_5761263;;noPdf;20110622_010043
week17b_1028_5760826_5761264;;noPdf;20110622_010043
week17b_1028_5760826_5761265;;noPdf;20110622_010043
week17b_1028_5760826_5761266;;noPdf;20110622_010043
week17b_1028_5760826_5761267;;noPdf;20110622_010043
week17b_1028_5760826_5761268;;noPdf;20110622_010043
week17b_1028_5760826_5761269;;noPdf;20110622_010043
week17b_1028_5760826_5761270;;noPdf;20110622_010043
week17b_1028_5760826_5761271;;noPdf;20110622_010043
week17b_1028_5760826_5761272;;noPdf;20110622_010043
week17b_1028_5760826_5761273;;noPdf;20110622_010043
week17b_1028_5760826_5761274;;noPdf;20110622_010043
week17b_1028_5760826_5761275;;noPdf;20110622_010043
week17b_1028_5760826_5761276;;noPdf;20110622_010043
week17b_1028_5760826_5761277;;noPdf;20110622_010043
week17b_1028_5760826_5761278;;noPdf;20110622_010043
week17b_1028_5760826_5761279;;noPdf;20110622_010043
week17b_1028_5760826_5761280;;noPdf;20110622_010043
week17b_1028_5760826_5761281;;noPdf;20110622_010043
week17b_1028_5760826_5761282;;noPdf;20110622_010043
week17b_1028_5760826_5761283;;noPdf;20110622_010043
week17b_1028_5760826_5761284;;noPdf;20110622_010043
week17b_1028_5760826_5761285;;noPdf;20110622_010043
week17b_1028_5760826_5761286;;noPdf;20110622_010043
week17b_1028_5760826_5761287;;noPdf;20110622_010043
week17b_1028_5760826_5761288;;noPdf;20110622_010043
week17b_1028_5760826_5761289;;noPdf;20110622_010044
week17b_1028_5760826_5761290;;noPdf;20110622_010044
week17b_1028_5760826_5761291;;noPdf;20110622_010044
week17b_1028_5760826_5761292;;noPdf;20110622_010044
week17b_1028_5760826_5761293;;noPdf;20110622_010044
week17b_1028_5760826_5761294;;noPdf;20110622_010044
